dinamica,nota_real,nota_detectada,f0_hz,error_cents,acierto
pp,Do4,Do4,261.1158913922133,-3.37591401034297,True
pp,Do#4,Do#4,278.38778953062797,7.510892295018222,True
pp,Re4,Re4,294.4055254598735,4.3614696145536955,True
pp,Re#4,Re#4,311.8953912035534,4.2704529517847565,True
pp,Mi4,Mi4,330.4894243570831,4.520699074200052,True
pp,Fa4,Fa4,350.2318121797509,4.967930242388701,True
pp,Fa#4,Fa#4,370.5186875714981,2.4513416850133862,True
pp,Sol4,Sol4,392.9613453655243,4.260657649594451,True
pp,Sol#4,Sol#4,416.7692280203474,6.094284424820863,True
pp,La4,La4,440.9468816808817,3.721619252531698,True
pp,La#4,La#4,467.26527487010475,4.0859631131443575,True
pp,Si4,Si4,494.5821406366202,2.4479454326804,True
mf,Do4,Do4,262.0621923187769,2.8868489849892844,True
mf,Do#4,Do#4,278.3983810011858,7.576757129426885,True
mf,Re4,Re4,293.72786681595574,0.37194529037604396,True
mf,Re#4,Re#4,311.96213720097313,4.640899531497621,True
mf,Mi4,Mi4,330.5323555240151,4.745574865967747,True
mf,Fa4,Fa4,349.8853212575408,3.2543400371269424,True
mf,Fa#4,Fa#4,370.69372717220176,3.269014234146868,True
mf,Sol4,Sol4,392.978490324498,4.33618998782671,True
mf,Sol#4,Sol#4,416.8037355170816,6.237620535615158,True
mf,La4,La4,440.95361937879915,3.7480724227776054,True
mf,La#4,La#4,467.1860804298018,3.792520097411294,True
mf,Si4,Si4,494.70984622659614,2.8949080479371085,True
ff,Do4,Do4,262.35229125469056,4.802239281837506,True
ff,Do#4,Do#4,278.50594708685315,8.245532942275302,True
ff,Re4,Re4,294.3178484795701,3.84581359863187,True
ff,Re#4,Re#4,311.96586699781795,4.661597917370595,True
ff,Mi4,Mi4,330.7983842061236,6.138396671058547,True
ff,Fa4,Fa4,350.5336360404502,6.459236008394774,True
ff,Fa#4,Fa#4,370.8407802266435,3.955653239252886,True
ff,Sol4,Sol4,392.96608526248997,4.281539656498196,True
ff,Sol#4,Sol#4,417.03366233766945,7.192380184698532,True
ff,La4,La4,441.0100660444582,3.9696742671478633,True
ff,La#4,La#4,467.2110296737216,3.8849711123292505,True
ff,Si4,Si4,494.67500133403263,2.7729642671813477,True
